NANCY STERN         2989821230009890002990004011998
ROBERT STERN        3092322100009889009283003111994
CHRISTOPHER HAMMEL  2843713837006737307370011122000
GEORGE WASHINGTON   5338323939000392003920010041990
TOM JEFFERSON       6838383220009383003920011031992
LORI STERN          2933916360012929002929003141999
MELANIE STERN       3238410293833838202383804212001
TEDDY SMITH         2029390223932833938283905272000
JOHN DOE            5033822938749303833039306111993
BILL FIXER          6238382002830393902938307211999
JAMES STERN         3924521230009890002990005011997
JANICE STERN        3592322100009889009283003111993
CHRISTOPHER BROWN   2643713837006737307370011122001
GEORGE TUCKER       5938323939000392003920010041998
TOM JENKINS         6038383220009383003920011031993
LORI TURN           2733916360012929002929003141987
MELANIE STOCK       3338410293833838202383804212004
BRUCE SMITH         2829390223932833938283905272001
JACK DODDLE         5034822938749303833039306111999
BILL FIT            6839082002830393902938307211991
NATE EWERT          3989821230009890002990004011984
ROB TACKLE          3892322100009889009283003111999
CHRIS HAMILITON     4843713837006737307370011122004
GEE YOUNG           5398323939000392003920010041992
TOM RUNBUCKLE       6828383220009383003920012041993
LISA BURNS          2934916360012929002929003171989
MELISSA HEELER      3239410293833838202383807272000
TED MYERS           2039390223932833938283903202007
JET BROWN           5133822938749303833039308101980
TUBBS DUGAL         6838382002830393902938305221995
